location,min_occupancy,max_occupancy,mean_occupancy,median_occupancy
名古屋市東区,13.0,100.0,73.2,89.8
愛知県名古屋市東区,87.7,100.0,94.1,93.1
愛知県名古屋市千種区,92.5,100.0,97.8,100.0
愛知県名古屋市中区,88.3,100.0,96.5,97.8
名古屋市西区,100.0,100.0,100.0,100.0
愛知県名古屋市中川区,100.0,100.0,100.0,100.0
愛知県名古屋市守山区,100.0,100.0,100.0,100.0
愛知県名古屋市熱田区,97.3,97.6,97.4,97.4
名古屋市中区,89.3,98.2,95.7,97.2
名古屋市中川区,95.5,100.0,97.8,97.8
愛知県名古屋市港区,100.0,100.0,100.0,100.0
名古屋市千種区,97.5,97.5,97.5,97.5
名古屋市熱田区,80.7,98.4,89.5,87.7
名古屋市守山区,98.0,98.0,98.0,98.0
名古屋市瑞穂区,96.6,100.0,98.3,98.3
名古屋市中村区,91.5,91.5,91.5,91.5
名古屋市名東区,88.1,88.1,88.1,88.1
名古屋市南区,96.6,96.6,96.6,96.6
名古屋市昭和区,96.7,96.7,96.7,96.7
名古屋市天白区,92.9,92.9,92.9,92.9
愛知県名古屋市昭和区,90.1,90.1,90.1,90.1
愛知県名古屋市中村区,95.4,95.4,95.4,95.4
